id,flight_time_s
48,5735
49,4089
50,6031
51,5987
52,2238
53,4650
54,4920
55,13012
56,1903
57,6699
58,11784
59,5546
60,2701
61,2959
62,6260
63,6590
64,7843
65,7667
66,9294
113,6311
114,5555
115,11935
116,6134
117,6213
118,3945
119,13238
120,5403
121,12184
122,4986
123,4958
124,3810
125,6071
126,13935
172,6972
173,6796
174,13055
175,4135
176,6435
177,7021
178,5918
179,6120
180,5814
181,13306
182,9360
220,4920
221,13502
222,4497
223,2777
224,5261
225,4780
226,5646
227,5840
228,6631
229,6612
276,13576
277,3408
278,12883
279,3995
280,5307
281,11344
282,3035
283,6013
284,4929
285,4472
286,7001
287,5777
288,5070
289,2698
290,9131
291,2929
334,1874
335,3644
336,7073
337,8305
338,14902
339,5723
340,9169
341,4297
342,3782
343,3176
344,6367
388,2780
389,5416
390,5804
391,7550
392,5405
393,6792
394,2904
395,10799
396,3928
397,3950
398,5530
399,7013
400,6318
401,5773
402,2948
403,8218
404,2939
405,6605
406,2763
439,6564
440,4052
441,5411
442,7955
443,6029
444,6459
445,6224
446,5795
447,6068
448,4230
449,6697
450,8008
502,2847
503,13526
504,7979
505,4243
506,6671
507,2131
508,3748
509,3268
510,5011
550,12832
551,3334
552,5251
553,12635
554,6015
555,6849
556,6619
557,3861
558,5624
559,6065
560,7886
561,6735
562,9855
611,4802
612,3087
613,14421
614,6596
615,7207
616,7648
617,10937
618,3331
619,3894
620,6881
621,9973
665,6994
666,5575
667,3954
668,5587
669,4696
670,6841
671,3055
672,3416
673,4491
716,2742
717,6730
718,5664
719,12121
720,5383
721,5419
722,4890
723,4322
724,12594
725,7156
726,6935
727,6604
772,6254
773,6300
774,4518
775,6933
776,4851
777,3066
778,6785
779,4838
780,6875
781,13490
782,5554
783,2817
784,4559
785,14344
786,7320
787,5690
788,4984
837,7392
838,11922
839,5049
840,13616
841,6540
842,5032
843,4997
844,1702
845,11662
846,5576
847,12311
848,3971
849,2072
850,11950
851,5958
852,5598
897,5235
898,4134
899,3092
900,7054
901,2157
902,6180
903,3130
904,12125
905,3935
946,7675
947,4083
948,4184
949,7002
950,5725
951,12782
952,7391
953,13577
954,4505
955,6333
956,6374
957,6508
958,3398
1006,6730
1007,2841
1008,2126
1009,7119
1010,12639
1011,4057
1012,5370
1013,3377
1014,8163
1015,3637
1016,8481
1017,1886
1018,5931
1019,5064
1020,5066
1071,3494
1072,10233
1073,7118
1074,7074
1075,10541
1076,6144
1077,2170
1078,5169
1079,14268
1080,3053
1081,6563
1082,5881
1083,7624
1084,8047
1085,3797
1086,3892
1087,6164
1126,4923
1127,5849
1128,13183
1129,5386
1130,12779
1131,3069
1132,11081
1133,8395
1134,12945
1135,6043
1136,6328
1137,3959
1138,5706
1139,14281
1140,6022
1141,10293
1142,5165
1143,6720
1144,4764
1145,8002
1185,2878
1186,5257
1187,5207
1188,6857
1189,6223
1190,2024
1191,4547
1192,3339
1193,10841
1194,3516
1195,4976
1196,7927
1197,7011
1198,6092
1258,4957
1259,6189
1260,2929
1261,6552
1262,9715
1263,3468
1264,11950
1265,6848
1266,6593
1267,3238
1268,9969
1269,4261
1270,3845
1317,1852
1318,3676
1319,13469
1320,8469
1321,5837
1322,6018
1323,3091
1324,2599
1325,3436
1326,3708
1327,12100
1328,2373
1329,5007
1330,6373
1376,9906
1377,5116
1378,6854
1379,5995
1380,13828
1381,3994
1382,12789
1383,6713
1384,9306
1385,4237
1386,2845
1387,4249
1438,2036
1439,4415
1440,6080
1441,1679
1442,1890
1443,4475
1444,2485
1445,4874
1446,5700
1447,7084
1448,6457
1449,3428
1450,4163
1451,13466
1452,1818
1453,10017
1454,3223
1455,6153
1456,4144
1457,3228
1458,6289
1459,7141
1501,5606
1502,2999
1503,1972
1504,6267
1505,6209
1506,6550
1507,3134
1508,5915
1509,7329
1510,8455
1511,6857
1512,2962
1513,6968
1514,3099
1515,5549
1516,6974
1517,2408
1565,12811
1566,4943
1567,8234
1568,3442
1569,5752
1570,10376
1571,7612
1572,7869
1573,8108
1574,3412
1575,8126
1576,3473
1577,12924
1578,6848
1579,4239
1580,8217
1581,6517
1621,13528
1622,5101
1623,6959
1624,9335
1625,6217
1626,6574
1627,1725
1628,6785
1629,4646
1630,6849
1631,9244
1632,9181
1633,3510
1634,2976
1672,3317
1673,2860
1674,7602
1675,5529
1676,5307
1677,5210
1678,2864
1679,7750
1680,14624
1681,6605
1682,3604
1683,2070
1684,2082
1685,14179
1686,14074
1687,3479
1735,6441
1736,7303
1737,6576
1738,2190
1739,3794
1740,5755
1741,7307
1742,3698
1743,5558
1744,12107
1745,7969
1746,7779
1747,10727
1748,6212
1749,5090
1750,5492
1802,2133
1803,5546
1804,3678
1805,1744
1806,7728
1807,1799
1808,6316
1809,3870
1810,6800
1811,5940
1812,5385
1813,7527
1814,6138
1815,2924
1857,8255
1858,7586
1859,3449
1860,2950
1861,5021
1862,2253
1863,2583
1864,6126
1865,4509
1866,5671
1867,6651
1868,1927
1869,6626
1870,14787
1871,2812
1872,4977
1926,6619
1927,2684
1928,4279
1929,3945
1930,5005
1931,4309
1932,7056
1933,7115
1934,7081
1935,11066
1936,2725
1937,14661
1938,7572
1939,4919
1940,12241
1941,12556
1942,3069
1943,5392
1944,3708
1945,4770
1946,2683
1947,5254
1990,11690
1991,13489
1992,5803
1993,14680
1994,6827
1995,3476
1996,2376
1997,5478
1998,11555
1999,5354
2000,5313
2001,6248
2002,5090
2003,4828
2004,6166
2005,5485
2006,8052
2058,3918
2059,13025
2060,2811
2061,3400
2062,2099
2063,3445
2064,6570
2065,4419
2066,5061
2067,11799
2068,7234
2069,12613
2070,4796
2071,14096
2072,5526
2073,4033
2074,6166
2075,8108
2076,5190
2077,5478
2078,1620
2125,4004
2126,5139
2127,7119
2128,3478
2129,2099
2130,6771
2131,8054
2132,11963
2133,4438
2134,3066
2135,3034
2136,7064
2137,5566
2138,5389
2139,3982
2140,9088
2190,13740
2191,5353
2192,6509
2193,6330
2194,7590
2195,5661
2196,5538
2197,6941
2198,3218
2199,2024
2200,6508
2201,2951
2202,4016
2203,5654
2204,2838
2205,6340
2206,3320
2207,6383
2208,4984
2209,5501
2210,4721
2258,9306
2259,5649
2260,5800
2261,12776
2262,5409
2263,12285
2264,5047
2265,12072
2266,3764
2267,3807
2268,2064
2269,14745
2270,12624
2271,9439
2272,9595
2307,6145
2308,2330
2309,5049
2310,11501
2311,3536
2312,8126
2313,5242
2314,6799
2315,5580
2316,5605
2317,7780
2359,14491
2360,1955
2361,7174
2362,3432
2363,5553
2364,7881
2365,4020
2366,5577
2367,1743
2368,2903
2369,3766
2370,4221
2371,2955
2372,4330
2373,4807
2374,4586
2375,7952
2376,5137
2377,14088
2378,6796
2379,6637
2380,3140
2381,7597
2382,6913
2383,9918
2423,7568
2424,5545
2425,6666
2426,2930
2427,6216
2428,5640
2429,6592
2430,3785
2431,4217
2432,6066
2433,6567
2434,5444
2435,2085
2474,1954
2475,3384
2476,9336
2477,5786
2478,1691
2479,6250
2480,4958
2481,6037
2482,6103
2483,10719
2484,10104
2485,6363
2526,12792
2527,3347
2528,2948
2529,7104
2530,5354
2531,5415
2532,3685
2533,4908
2534,5023
2535,2878
2536,8952
2537,6658
2538,14225
2539,4222
2540,3132
2541,6154
2588,7100
2589,2776
2590,11052
2591,9198
2592,5546
2593,4241
2594,5303
2595,4376
2596,2233
2597,5498
2598,6157
2599,5929
2600,14392
2601,4515
2602,3503
2603,3261
2651,3308
2652,3407
2653,4465
2654,4709
2655,12569
2656,2647
2657,3990
2658,5857
2659,3779
2660,8801
2661,4805
2662,5707
2663,5554
2664,4357
2665,8118
2717,12575
2718,2851
2719,3140
2720,3768
2721,2890
2722,4946
2723,6877
2724,5227
2725,3984
2726,3052
2727,10486
2728,3086
2729,5450
2730,2362
2780,10218
2781,8396
2782,2123
2783,6032
2784,5956
2785,3261
2786,4779
2787,7894
2788,3239
2828,6603
2829,2902
2830,3021
2831,3625
2832,14354
2833,4744
2834,5585
2835,5523
2836,5025
2837,5193
2838,5531
2839,8704
2840,10531
2841,3965
2842,8086
2843,3990
2885,2616
2886,5470
2887,12888
2888,4968
2889,4967
2890,5306
2891,3943
2892,5777
2893,3113
2894,9868
2895,5109
2896,6610
2897,4581
2942,11288
2943,9088
2944,4003
2945,5781
2946,4356
2947,2375
2948,11902
2949,3026
2950,12436
2995,6246
2996,5017
2997,5051
2998,2292
2999,7431
3000,11145
3001,4985
3002,5870
3003,3610
3004,6772
3005,7047
3006,11978
3007,6012
3008,3017
3009,5602
3010,2229
3011,3037
3012,6941
3013,3652
3014,2253
3015,6907
3016,5039
3017,5015
3018,2713
3019,4384
3072,9244
3073,3857
3074,3939
3075,3758
3076,2580
3077,13498
3078,5579
3079,1769
3080,2981
3081,4726
3082,13919
3083,5114
3084,2071
3085,5639
3086,6711
3087,5804
3088,8246
3089,11818
3090,8178
3128,6018
3129,2291
3130,6497
3131,13073
3132,11402
3133,1985
3134,4034
3135,2530
3136,4556
3137,2040
3138,10643
3139,8674
3140,5681
3141,5923
3142,12587
3143,3602
3144,11923
3145,4107
3146,5086
3195,13511
3196,14477
3197,7782
3198,5440
3199,5378
3200,5760
3201,4594
3202,5810
3203,8568
3204,9394
3205,8311
3206,1757
3207,2353
3208,12370
3209,5212
3249,4572
3250,4222
3251,7460
3252,4992
3253,4644
3254,3679
3255,9525
3256,12535
3257,6537
3258,3107
3259,4567
3260,2119
3261,2988
3262,2747
3263,5653
3264,2935
3317,6491
3318,4074
3319,4972
3320,5075
3321,6107
3322,6160
3323,6408
3324,7527
3325,8416
3326,7023
3327,1919
3328,5709
3329,6800
3330,13872
3331,2561
3332,9128
3333,6143
3334,8253
3376,11853
3377,3843
3378,6545
3379,14335
3380,3661
3381,5172
3382,2197
3383,4991
3384,14788
3385,3483
3386,4390
3387,3369
3388,3962
3389,4584
3390,3233
3391,1719
3445,4771
3446,1806
3447,7533
3448,5332
3449,5745
3450,5353
3451,3410
3452,9272
3453,2168
3454,6332
3455,13545
3456,3412
3457,2787
3458,3879
3459,12353
3460,5761
3461,8839
3462,7728
3463,6544
3508,10649
3509,7854
3510,3071
3511,5124
3512,6642
3513,2621
3514,7803
3515,2981
3516,9744
3517,6489
3518,6540
3519,6976
3520,5260
3521,5096
3522,2762
3523,4041
3524,3580
3525,2088
3526,9861
3527,5655
3528,2100
3571,6169
3572,9584
3573,5618
3574,13496
3575,14091
3576,3843
3577,5333
3578,6054
3579,4317
3580,4500
3581,4289
3582,5288
3583,5966
3584,7674
3585,3094
3586,2991
3587,2924
3588,6963
3589,7796
3641,2239
3642,4602
3643,13622
3644,2428
3645,4416
3646,7215
3647,4717
3648,4510
3649,8000
3650,8106
3651,7618
3652,4554
3653,4224
3654,3924
3695,6766
3696,5600
3697,7755
3698,4897
3699,7650
3700,2133
3701,9199
3702,7703
3703,5544
3704,3409
3705,6637
3706,6534
3707,8826
3708,7492
3709,5442
3710,6137
3711,14395
3712,12323
3713,5519
3714,12477
3715,8209
3716,10048
3717,6107
3718,6100
3719,5685
3720,4064
3766,4312
3767,7902
3768,6068
3769,6543
3770,2390
3771,3617
3772,12836
3773,3268
3774,4481
3775,7852
3776,8144
3777,3948
3778,5022
3830,6607
3831,10531
3832,10524
3833,5179
3834,5803
3835,3764
3836,7840
3837,2976
3838,2975
3839,5487
3840,5359
3841,4347
3842,2390
3843,15703
3844,5112
3845,9245
3846,6194
3847,7121
3895,6945
3896,8759
3897,5158
3898,6582
3899,2492
3900,5569
3901,6623
3902,12179
3903,4481
3904,3071
3905,6684
3956,5977
3957,3099
3958,3240
3959,13504
3960,7925
3961,5719
3962,3657
3963,9927
3964,7657
3965,14295
3966,13505
3967,8315
3968,8609
3969,2951
4013,4187
4014,14627
4015,6879
4016,11070
4017,4903
4018,6412
4019,5285
4020,3821
4021,3505
4022,12302
4023,5962
4024,3252
4073,2749
4074,3001
4075,5512
4076,1656
4077,13393
4078,6869
4079,2932
4080,3755
4081,8370
4082,3186
4083,2655
4084,5819
4085,2739
4086,6359
4087,6758
4088,6303
4089,3574
4090,6928
4091,5749
4092,3886
4150,7014
4151,5443
4152,1870
4153,5633
4154,2923
4155,5023
4156,6786
4157,3360
4158,5608
4159,6030
4160,1636
4212,4567
4213,5085
4214,5893
4215,1946
4216,3187
4217,5783
4218,4694
4219,5002
4220,9316
4221,12608
4222,14908
4270,6981
4271,5988
4272,5684
4273,3022
4274,5073
4275,6799
4276,5831
4277,6469
4278,2373
4279,4013
4280,5585
4281,6653
4282,5633
4283,2019
4284,4517
4285,5910
4329,2784
4330,5875
4331,5517
4332,6114
4333,2661
4334,6421
4335,3722
4336,5684
4337,13930
4338,7277
4339,5557
4340,3803
4341,3126
4342,9342
4343,6563
4344,6978
4345,2456
4390,1937
4391,7156
4392,5674
4393,6041
4394,5839
4395,5042
4396,9292
4397,7738
4398,4917
4399,5266
4400,14703
4401,5331
4402,6453
4403,3677
4404,5052
4453,3607
4454,5572
4455,12792
4456,3722
4457,5082
4458,5273
4459,8034
4460,10338
4461,11635
4462,12430
4463,6830
4464,5445
4465,2104
4508,11510
4509,7770
4510,7847
4511,3507
4512,9530
4513,5192
4514,8155
4515,3341
4516,5358
4517,7048
4518,3756
4519,13934
4520,10695
4560,4774
4561,12166
4562,2444
4563,6300
4564,6775
4565,14512
4566,6588
4567,5574
4568,2199
4569,2243
4570,2068
4571,4974
4572,9558
4619,3602
4620,5580
4621,6485
4622,5208
4623,6582
4624,7088
4625,6546
4626,6368
4627,5493
4628,8806
4629,2920
4630,9704
4674,2302
4675,1951
4676,3332
4677,3388
4678,11784
4679,3101
4680,2282
4681,4068
4682,14829
4683,2184
4684,5329
4685,4919
4686,7006
4687,6272
4724,3456
4725,4211
4726,4331
4727,7432
4728,11702
4729,10512
4730,3250
4731,7523
4732,2613
4733,5486
4734,5323
4777,7474
4778,2757
4779,12709
4780,5199
4781,6155
4782,11047
4783,6758
4784,4923
4785,3143
4786,9456
4787,6224
4788,8302
4789,2073
4790,3778
4791,4163
4792,6332
4793,3252
4794,5982
4795,6718
4839,4876
4840,12828
4841,13124
4842,4235
4843,3080
4844,13176
4845,5573
4846,4128
4847,5714
4848,5396
4849,12283
4850,7385
4851,5866
4852,3475
4897,3488
4898,14616
4899,3923
4900,15049
4901,2709
4902,4286
4903,12650
4904,2139
4905,3259
4906,3826
4907,6652
4908,4153
4909,6007
4910,12131
4911,3177
4912,6951
4913,2875
4965,2853
4966,4620
4967,8037
4968,12000
4969,3276
4970,2948
4971,2122
4972,4422
4973,4851
4974,5217
4975,4926
4976,6609
4977,1728
4978,3199
4979,7997
4980,2630
4981,10090
5008,12956
5009,2867
5010,12815
5011,7788
5012,6006
5013,2811
5014,2177
5015,6804
5016,2992
5017,5136
5018,6869
5019,2948
5020,3425
5021,5982
5022,5914
5023,8021
5024,6140
5025,8374
5077,7839
5078,5114
5079,4856
5080,8373
5081,5857
5082,4524
5083,6548
5084,3454
5085,8070
5086,14161
5087,4156
5088,7778
5089,7850
5090,5693
5145,12361
5146,7782
5147,4425
5148,3643
5149,3681
5150,2875
5151,4609
