id,flight_time_s
48,5790
49,4028
50,6214
51,5857
52,2235
53,4481
54,4793
55,13205
56,1960
57,6818
58,11282
59,5561
60,2731
61,2891
62,6317
63,6475
64,7841
65,7986
66,9276
113,6363
114,5562
115,12084
116,6036
117,6232
118,4015
119,12736
120,5350
121,12063
122,4945
123,4925
124,3792
125,5986
126,14349
172,6993
173,6904
174,12877
175,4155
176,6532
177,7141
178,5863
179,6290
180,6110
181,13458
182,9649
220,4921
221,13590
222,4518
223,2715
224,5252
225,5015
226,5674
227,5961
228,6675
229,6563
276,13707
277,3413
278,12669
279,4079
280,5254
281,11281
282,3124
283,5982
284,4889
285,4391
286,6795
287,5766
288,5135
289,2776
290,9478
291,2999
334,1915
335,3699
336,6502
337,8423
338,15239
339,5748
340,9100
341,4243
342,3736
343,3130
344,6444
388,2709
389,5441
390,5646
391,7329
392,5438
393,6650
394,2855
395,10836
396,3941
397,4021
398,5373
399,6934
400,6352
401,5886
402,2983
403,8293
404,2836
405,6679
406,2809
439,6509
440,3899
441,5395
442,7993
443,5960
444,6438
445,5788
446,5822
447,6192
448,4273
449,6764
450,8193
502,2813
503,13409
504,8208
505,3954
506,6696
507,2059
508,3621
509,3217
510,5076
550,12615
551,3128
552,5305
553,12603
554,6208
555,6588
556,6540
557,3913
558,5557
559,5812
560,7684
561,6893
562,10433
611,5154
612,3063
613,14169
614,6388
615,7166
616,7797
617,10579
618,3157
619,3951
620,6786
621,9841
665,6991
666,5586
667,3754
668,5516
669,4708
670,6637
671,3072
672,3486
673,4509
716,2805
717,6720
718,5607
719,11950
720,5247
721,5552
722,4410
723,4294
724,12353
725,7126
726,6649
727,6584
772,6629
773,6310
774,4321
775,6891
776,4898
777,3064
778,6956
779,4699
780,6984
781,13525
782,5770
783,2902
784,4551
785,14349
786,7357
787,5697
788,5010
837,7392
838,11889
839,5116
840,13687
841,6538
842,5073
843,5072
844,1801
845,11673
846,5599
847,12031
848,3941
849,2126
850,12021
851,6152
852,5654
897,5344
898,3984
899,3066
900,6856
901,2142
902,6202
903,2915
904,12137
905,3928
946,7521
947,4038
948,4219
949,6910
950,5721
951,12647
952,7084
953,13767
954,4562
955,6294
956,6316
957,6696
958,3028
1006,5822
1007,2924
1008,2003
1009,6866
1010,12482
1011,4015
1012,5329
1013,3348
1014,8128
1015,3582
1016,8555
1017,1831
1018,5763
1019,5088
1020,5071
1071,3204
1072,10298
1073,6606
1074,6883
1075,10479
1076,5972
1077,2125
1078,5066
1079,13773
1080,3076
1081,6703
1082,5912
1083,7734
1084,7423
1085,3685
1086,3936
1087,6104
1126,4892
1127,5943
1128,13262
1129,5293
1130,12774
1131,2992
1132,10972
1133,8604
1134,12831
1135,6065
1136,6074
1137,3785
1138,5535
1139,14112
1140,5926
1141,10526
1142,5216
1143,6623
1144,4784
1145,7684
1185,2895
1186,5651
1187,5201
1188,7047
1189,6211
1190,2010
1191,4722
1192,3341
1193,10728
1194,3471
1195,5009
1196,7970
1197,6888
1198,6121
1258,4979
1259,5816
1260,2977
1261,6803
1262,9728
1263,3391
1264,12091
1265,6899
1266,6504
1267,3219
1268,10207
1269,4197
1270,3882
1317,1894
1318,3145
1319,13580
1320,8326
1321,5809
1322,6441
1323,3113
1324,2527
1325,3457
1326,3770
1327,12218
1328,2361
1329,5031
1330,6189
1376,10134
1377,5138
1378,6803
1379,5974
1380,13749
1381,3858
1382,12817
1383,7055
1384,9272
1385,4264
1386,2857
1387,4072
1438,1920
1439,4386
1440,6235
1441,1657
1442,1876
1443,4437
1444,2546
1445,5063
1446,5535
1447,6576
1448,6384
1449,3358
1450,3895
1451,13598
1452,1850
1453,10199
1454,3052
1455,5900
1456,4260
