id,flight_time_s
48,5782
49,4015
50,6204
51,5849
52,2249
53,4420
54,4786
55,13396
56,1966
57,6833
58,11379
59,5584
60,2728
61,2886
62,6285
63,6514
64,7849
65,7980
66,9333
113,6369
114,5569
115,12045
116,6132
117,6259
118,4035
119,12685
120,5317
121,12068
122,4930
123,4965
124,3837
125,6021
126,14306
172,7028
173,6923
174,12928
175,4177
176,6558
177,7123
178,5881
179,6299
180,6014
181,13427
182,9681
220,4934
221,13496
222,4481
223,2728
224,5242
225,4995
226,5662
227,5986
228,6654
229,6589
276,13667
277,3410
278,12614
279,4122
280,5272
281,11383
282,3091
283,5968
284,4858
285,4389
286,6861
287,5750
288,5131
289,2763
290,9483
291,2950
334,1912
335,3687
336,6552
337,8414
338,15210
339,5798
340,9074
341,4258
342,3728
343,3138
344,6399
388,2701
389,5510
390,5637
391,7317
392,5398
393,6655
394,2842
395,10875
396,3929
397,3996
398,5376
399,6842
400,6352
401,5874
402,3014
403,8275
404,2828
405,6712
406,2803
439,6495
440,3956
441,5431
442,8044
443,5947
444,6440
445,5796
446,5814
447,6196
448,4289
449,6677
450,8158
502,2798
503,13347
504,8145
505,3984
506,6697
507,2057
508,3669
509,3223
510,5082
550,12661
551,3113
552,5264
553,12627
554,6183
555,6669
556,6587
557,3930
558,5592
559,5816
560,7752
561,6878
562,10430
611,5175
612,3083
613,14159
614,6351
615,7143
616,7748
617,10621
618,3166
619,3949
620,6781
621,9849
665,6969
666,5585
667,3730
668,5523
669,4683
670,6710
671,3081
672,3496
673,4545
716,2830
717,6761
718,5612
719,11934
720,5223
721,5511
722,4356
723,4283
724,12403
725,7121
726,6617
727,6699
772,6571
773,6285
774,4331
775,6842
776,4843
777,3075
778,6991
779,4686
780,6866
781,13515
782,5769
783,2921
784,4509
785,14255
786,7354
787,5649
788,4981
837,7429
838,11853
839,5079
840,13602
841,6539
842,5069
843,5047
844,1793
845,11586
846,5674
847,12036
848,3951
849,2135
850,12045
851,6140
852,5622
897,5318
898,4043
899,3087
900,6831
901,2143
902,6228
903,2940
904,12154
905,3962
946,7517
947,4070
948,4224
949,6906
950,5710
951,12636
952,7101
953,13682
954,4521
955,6312
956,6287
957,6696
958,3012
1006,5844
1007,2924
1008,1980
1009,6868
1010,12522
1011,4002
1012,5307
1013,3366
1014,8113
1015,3532
1016,8568
1017,1838
1018,5793
1019,5075
1020,5075
1071,3215
1072,10290
1073,6573
1074,6852
1075,10472
1076,5980
1077,2101
1078,5070
1079,13753
1080,3090
1081,6771
1082,5898
1083,7660
1084,7399
1085,3629
1086,3909
1087,6088
1126,4891
1127,5961
1128,13287
1129,5252
1130,12687
1131,2976
1132,10992
1133,8613
1134,12794
1135,5974
1136,6080
1137,3770
1138,5493
1139,14107
1140,5964
1141,10470
1142,5217
1143,6632
1144,4756
1145,7567
1185,2890
1186,5554
