id,flight_time_s
48,5848
49,4057
50,6267
51,5877
52,2239
53,4471
54,4878
55,13263
56,1951
57,6809
58,11327
59,5551
60,2705
61,2900
62,6314
63,6509
64,7867
65,7945
66,9273
113,6388
114,5562
115,12090
116,5993
117,6226
118,4048
119,12688
120,5343
121,12132
122,4943
123,4849
124,3783
125,6016
126,14328
172,7015
173,6898
174,12946
175,4165
176,6560
177,7152
178,5849
179,6403
180,6258
181,13482
182,9704
220,4934
221,13521
222,4473
223,2760
224,5225
225,4984
226,5644
227,5967
228,6728
229,6599
276,13711
277,3435
278,12623
279,4124
280,5237
281,11496
282,3095
283,5975
284,4936
285,4419
286,6828
287,5763
288,5147
289,2735
290,9557
291,3044
334,1925
335,3696
336,6522
337,8375
338,15305
339,5829
340,9096
341,4266
342,3697
343,3138
344,6425
388,2694
389,5473
390,5661
391,7333
392,5355
393,6620
394,2871
395,10821
396,3921
397,4007
398,5375
399,6926
400,6345
401,5856
402,3044
403,8320
404,2831
405,6701
406,2826
439,6499
440,3907
441,5397
442,8002
443,5977
444,6438
445,5820
446,5897
447,6240
448,4266
449,6720
450,8163
502,2801
503,13341
504,8269
505,3924
506,6690
507,2063
508,3661
509,3211
510,5057
550,12672
551,3101
552,5294
553,12634
554,6247
555,6651
556,6554
557,3931
558,5580
559,5895
560,7724
561,6876
562,10364
611,5163
612,3088
613,14186
614,6394
615,7147
616,7804
617,10643
618,3179
619,3934
620,6824
621,9878
665,6931
666,5604
667,3752
668,5482
669,4736
670,6691
671,3031
672,3482
673,4528
716,2794
717,6751
718,5627
719,11967
720,5262
721,5536
722,4379
723,4322
724,12392
725,7117
726,6621
727,6619
772,6616
773,6328
774,4350
775,6907
776,4883
777,3077
778,6977
779,4688
780,6981
781,13561
782,5818
783,2909
784,4573
785,14282
786,7405
787,5676
788,4995
837,7444
838,11941
839,5083
840,13554
841,6566
842,5086
843,5092
844,1802
845,11742
846,5591
847,12030
848,3944
849,2148
850,12018
851,6161
852,5719
897,5331
898,4015
899,3093
900,6818
901,2133
902,6229
903,2851
904,12148
905,3937
946,7469
947,4063
948,4272
949,6960
950,5705
951,12663
952,7142
953,13725
954,4522
955,6281
956,6300
957,6699
958,3028
1006,5817
1007,2905
1008,1965
1009,6817
1010,12489
1011,3966
1012,5371
1013,3320
1014,8108
1015,3478
1016,8457
1017,1841
1018,5720
1019,5045
1020,5029
1071,3216
1072,10324
1073,6608
1074,6812
1075,10445
1076,5945
1077,2105
1078,5067
1079,13797
1080,3092
1081,6708
1082,5863
1083,7712
1084,7510
1085,3629
1086,3939
1087,6089
1126,4904
1127,5950
1128,13281
1129,5282
1130,12728
1131,2989
1132,10998
1133,8607
1134,12789
1135,6065
1136,6074
1137,3775
1138,5530
1139,14067
1140,5906
1141,10516
1142,5251
1143,6587
1144,4731
1145,7618
1185,2911
1186,5643
1187,5208
1188,6977
1189,6211
1190,2068
1191,4724
1192,3388
1193,10680
1194,3459
1195,5015
1196,7957
1197,6861
1198,6060
1258,4984
1259,5831
1260,2969
1261,6780
1262,9720
1263,3422
1264,12073
1265,6940
1266,6493
1267,3194
1268,10182
1269,4185
1270,3870
1317,1913
1318,3084
1319,13518
1320,8228
1321,5885
1322,6397
1323,3115
1324,2568
1325,3457
1326,3800
1327,12175
1328,2370
1329,5003
1330,6186
1376,10091
1377,5118
1378,6814
1379,5995
1380,13662
1381,3896
1382,12783
1383,6925
1384,9238
1385,4259
1386,2849
1387,4020
1438,1930
1439,4417
1440,6244
1441,1659
1442,1880
1443,4423
1444,2541
1445,5049
1446,5662
1447,6504
1448,6361
1449,3372
1450,3900
1451,13496
1452,1851
1453,10207
1454,3008
1455,5840
1456,4198
1457,3227
1458,6436
1459,7076
1501,5448
1502,3042
1503,1954
1504,5999
1505,6569
1506,6240
1507,3112
1508,5908
1509,6370
1510,7866
1511,6754
1512,2910
1513,7050
1514,3097
1515,5459
1516,6931
1517,2370
1565,12767
1566,5069
1567,8081
1568,3384
1569,5905
1570,10188
1571,7534
1572,7874
1573,8095
1574,3274
1575,8259
1576,3510
1577,11851
1578,6782
1579,4240
1580,7940
1581,6575
1621,13745
1622,5164
1623,7137
1624,9292
1625,6017
1626,6613
1627,1641
1628,7288
1629,4755
1630,6740
1631,9201
1632,9384
1633,3505
1634,2970
1672,3246
1673,2977
1674,7820
1675,5634
1676,5288
1677,5033
1678,2963
1679,7628
1680,14559
1681,6802
1682,3346
1683,2100
1684,2029
1685,13727
1686,14122
1687,3532
1735,6137
1736,7217
1737,6622
1738,2378
1739,3946
1740,5826
1741,7199
1742,3723
1743,5619
1744,11946
1745,7973
1746,7777
1747,10565
1748,5647
1749,5139
1750,5520
1802,2156
1803,5733
1804,3097
1805,1883
1806,7574
1807,1889
1808,6522
1809,3921
1810,7221
1811,5888
1812,5440
1813,7638
1814,5950
1815,2919
1857,8318
1858,7608
1859,3452
1860,3027
1861,5038
1862,2262
1863,2602
1864,6384
1865,4630
1866,5541
1867,6581
1868,1910
1869,6651
1870,14828
1871,2842
1872,5060
1926,6542
1927,2642
1928,4407
1929,3935
1930,5019
1931,4479
1932,6945
1933,6961
1934,6861
1935,11011
1936,2681
1937,14401
1938,7634
1939,5024
1940,12487
1941,12427
1942,3065
1943,5460
1944,3714
1945,4843
1946,2847
1947,5302
1990,12114
1991,13444
1992,5705
1993,14691
1994,6797
1995,3406
1996,2463
1997,5708
1998,10747
1999,5116
2000,5305
2001,6308
2002,5026
2003,4616
2004,5870
2005,5510
2006,8130
2058,3663
2059,12947
2060,2835
2061,3433
2062,2140
2063,3465
2064,6614
2065,4460
2066,4737
2067,12006
2068,7094
2069,12208
2070,4902
2071,13967
2072,5437
2073,4086
2074,6086
2075,8171
2076,5185
2077,5460
2078,1660
2125,3891
2126,5030
2127,6937
2128,3494
2129,2341
2130,6890
2131,7977
2132,11927
2133,4424
2134,3013
2135,2996
2136,6975
2137,5529
2138,5312
2139,3788
2140,8734
2190,13470
2191,5204
2192,6257
2193,6254
2194,7506
2195,5794
2196,5448
2197,6947
2198,3348
2199,2045
2200,6661
2201,2976
2202,4055
2203,5720
2204,2849
2205,6291
2206,3250
2207,6182
2208,4877
2209,5542
2210,4683
2258,9393
