id,flight_time_s
48,5668
49,4347
50,6639
51,5946
52,2407
53,4504
54,5082
55,13789
56,2010
57,6998
58,11326
59,5733
60,2736
61,2967
62,6219
63,6470
64,7830
65,7845
66,8907
113,6510
114,5755
115,12188
116,6505
117,6224
118,4160
119,12770
120,5452
121,12281
122,4838
123,4868
124,3699
125,5906
126,14242
172,6961
173,6723
174,12963
175,4055
176,6561
177,7047
178,5900
179,6205
180,6068
181,13264
182,9591
220,5100
221,13652
222,4422
223,3342
224,5292
225,4870
226,5965
227,6005
228,6739
229,6593
276,13619
277,3541
278,12477
279,4154
280,5293
281,11077
282,3145
283,6081
284,4842
285,4354
286,7376
287,5941
288,5253
289,2715
290,9279
291,3063
334,2001
335,3667
336,5998
337,8612
338,14794
339,6022
340,9008
341,4128
342,3628
343,3183
344,6520
388,2749
389,5514
390,5742
391,7185
392,5762
393,6488
394,2859
395,10895
396,4015
397,3928
398,5708
399,6764
400,6460
401,5751
402,2994
403,8379
404,2874
405,6712
406,2625
439,6496
440,3808
441,5579
442,8130
443,6210
444,6614
445,5868
446,5852
447,6166
448,4088
449,6494
450,8209
502,2741
503,13562
504,8261
505,3912
506,6567
507,2030
508,3580
509,3085
510,5070
550,12784
551,2969
552,5600
553,12501
554,6187
555,6745
556,6525
557,3901
558,5517
559,5139
560,7739
561,6754
562,10388
611,4849
612,3125
613,14251
614,6198
615,7034
616,7763
617,10974
618,3120
619,4194
620,6731
621,9852
665,7087
666,5924
667,3797
668,5295
669,4864
670,6702
671,2932
672,3642
673,4439
716,3333
717,6769
718,5314
719,11862
720,5284
721,5562
722,4467
723,4261
724,12247
725,6973
726,6609
727,6878
772,6279
773,6173
774,4303
775,7018
776,4924
777,3212
778,6989
779,4728
780,6918
781,13591
782,5567
783,2938
784,4373
785,14109
786,7323
787,5623
788,5143
837,7506
838,11719
839,5198
840,13949
841,6478
842,5195
843,5127
844,1893
845,11537
846,5383
847,11801
848,3844
849,2139
850,12257
851,5933
852,5535
897,5286
898,4505
899,3234
900,6797
901,2111
902,6549
903,3155
904,12390
905,4118
946,7515
947,4617
948,3960
949,6924
950,5819
951,12583
952,7307
953,13677
954,4412
955,6047
956,6211
957,6756
958,3068
1006,5715
1007,2911
1008,2089
1009,6795
1010,12470
1011,4073
1012,5313
1013,3886
1014,7854
1015,3800
1016,8597
1017,2003
1018,5886
1019,5167
1020,5167
1071,3171
1072,10000
1073,6490
1074,6795
1075,10272
1076,6001
1077,2128
1078,5118
1079,13997
1080,2971
1081,6650
1082,5733
1083,7674
1084,7381
1085,4627
1086,3754
1087,6168
1126,5049
1127,6170
1128,13346
1129,5271
1130,12739
1131,3002
1132,11092
1133,8695
1134,12575
1135,6207
1136,6016
1137,3844
1138,5389
1139,14339
1140,5781
1141,10447
1142,5305
1143,6493
1144,4745
1145,7562
1185,2999
1186,5540
1187,5124
1188,6922
1189,6705
1190,2180
1191,4637
1192,3162
1193,10855
1194,3721
1195,4957
1196,7837
1197,6962
1198,5959
1258,5035
1259,5752
1260,2973
1261,7000
1262,9972
1263,3546
1264,11737
1265,6942
1266,6534
1267,3520
1268,10334
1269,3878
1270,3832
1317,1955
1318,2977
1319,13828
1320,8028
1321,5863
1322,6944
1323,2960
1324,2487
1325,3634
1326,3686
1327,12395
1328,2478
1329,5204
1330,6330
1376,10440
1377,5241
1378,6786
1379,6206
1380,13884
1381,4087
1382,12897
1383,7086
1384,9275
1385,4318
1386,2929
1387,4518
1438,2010
1439,4496
1440,6198
1441,1824
1442,2013
1443,3882
1444,2767
1445,4968
1446,5096
1447,6360
1448,6476
1449,3133
1450,3892
1451,13696
1452,1938
1453,10334
1454,3488
1455,5934
1456,4273
1457,3373
1458,6256
1459,7318
1501,5455
1502,3043
1503,2065
1504,5996
1505,6312
1506,5933
1507,3202
1508,6058
1509,6365
1510,7837
1511,6822
1512,2945
1513,6922
1514,3196
1515,5573
1516,6923
1517,2446
1565,12829
1566,5061
1567,7990
1568,3118
1569,5769
1570,10348
1571,7586
1572,7930
1573,7601
1574,3840
1575,7986
1576,3616
1577,12670
1578,6994
1579,4061
1580,7869
1581,6758
1621,13628
1622,5080
1623,6936
1624,9154
1625,6219
1626,6836
1627,1866
1628,6547
1629,4537
1630,6609
1631,9243
1632,9300
1633,3936
1634,2889
1672,3102
1673,2861
1674,7329
1675,5447
1676,5231
1677,4947
1678,2853
1679,7619
1680,14372
1681,6562
1682,3148
1683,2122
1684,2030
1685,13845
1686,14076
1687,3748
1735,6211
1736,6650
1737,6589
1738,2324
1739,3832
1740,6075
1741,6966
1742,3575
1743,6076
1744,11756
1745,7985
1746,7541
1747,10977
1748,5713
1749,5186
1750,5220
1802,2122
1803,5718
1804,2969
1805,1891
1806,7541
1807,2001
1808,6826
1809,3773
1810,7059
1811,6098
1812,5521
1813,7547
1814,5804
1815,2911
1857,8191
1858,7553
1859,3541
1860,3111
1861,5158
1862,2201
1863,2696
1864,6430
1865,4335
1866,5654
1867,6525
1868,2003
1869,6969
1870,14651
1871,2966
1872,5133
1926,6833
1927,2737
1928,4487
1929,4157
1930,5158
1931,4694
1932,6543
1933,6921
1934,6904
1935,10936
1936,2767
1937,14359
1938,7373
1939,4946
1940,12426
1941,12312
1942,2947
1943,5466
1944,3615
1945,4906
1946,3191
1947,5831
1990,12042
1991,13644
1992,6075
1993,14645
1994,6883
1995,3158
1996,2581
1997,5761
1998,10964
1999,4837
2000,5046
2001,6228
2002,5107
2003,4484
2004,6206
2005,6031
2006,8209
2058,3829
2059,12965
2060,2653
2061,3509
2062,2106
2063,3393
2064,6632
2065,4111
2066,4674
2067,12006
2068,6931
2069,12420
2070,5918
2071,13877
2072,5706
2073,4062
2074,6141
2075,7970
2076,5300
2077,5770
2078,1853
2125,3821
2126,5135
2127,6829
2128,3689
2129,2324
2130,7142
2131,7812
2132,11763
2133,4929
2134,3533
2135,2960
2136,6833
2137,5390
2138,5374
2139,3831
2140,9050
2190,13774
2191,5307
2192,6291
2193,6169
2194,7621
2195,5566
2196,5557
2197,7002
2198,3192
2199,2102
2200,6581
2201,3007
2202,4192
2203,5727
2204,3048
2205,6877
2206,3572
2207,5933
2208,4873
2209,5815
2210,4710
2258,9390
2259,5699
2260,5960
2261,12843
2262,5597
2263,12290
2264,5086
2265,12403
2266,3675
2267,3627
2268,2857
2269,14221
2270,12533
2271,9337
2272,9492
2307,6712
2308,2228
2309,5167
2310,11333
2311,3165
2312,8230
2313,5149
2314,6949
2315,5704
2316,5446
2317,7827
2359,14409
2360,2081
2361,7045
2362,3106
2363,5475
2364,7436
2365,4250
2366,5526
2367,1874
2368,3038
2369,3626
2370,4006
2371,2918
2372,4147
2373,4422
2374,4372
2375,7578
2376,5224
2377,13801
2378,6834
2379,6489
2380,3157
2381,7746
2382,6748
2383,10394
2423,7427
2424,5543
2425,6463
2426,2871
2427,5866
2428,5687
2429,6666
2430,3665
2431,4105
2432,5972
2433,6586
2434,5081
2435,2834
2474,2017
2475,3577
2476,9531
2477,5982
2478,1889
2479,5898
2480,5153
2481,5968
2482,6200
2483,10793
2484,10203
2485,6148
2526,12497
2527,3787
2528,2999
2529,6908
2530,5536
2531,5452
2532,3709
2533,4760
2534,5235
2535,2967
2536,9123
2537,6470
2538,14066
2539,4148
2540,2979
2541,5981
2588,6953
2589,2947
2590,11567
2591,9310
2592,5474
2593,4814
2594,5452
2595,4127
2596,2350
2597,5020
2598,5772
2599,5949
2600,14000
2601,4007
2602,4307
2603,3466
2651,3168
2652,3825
2653,4474
2654,4411
2655,12414
2656,2552
2657,4181
2658,5919
2659,3759
2660,8349
2661,5082
2662,5362
2663,5880
2664,4300
2665,8178
2717,12932
2718,2977
2719,3396
2720,3680
2721,2872
2722,4685
2723,6863
2724,4457
2725,4128
2726,3509
2727,10036
2728,3047
2729,6009
2730,2546
2780,10561
2781,7893
2782,2120
2783,5768
2784,6174
2785,3018
2786,4950
2787,7865
2788,3571
2828,6196
2829,2823
2830,3079
2831,3587
2832,14540
2833,4823
2834,5478
2835,5368
2836,4824
2837,5224
2838,5540
2839,8748
2840,10880
2841,4124
2842,7888
2843,4034
2885,2732
2886,5537
2887,13007
2888,5051
2889,4854
2890,5134
2891,4522
2892,5740
2893,3166
2894,9910
2895,5148
2896,6480
2897,4434
2942,11547
2943,9156
