id,flight_time_s
48,6614
49,5114
50,6185
51,4709
52,3169
53,5922
54,4932
55,11565
56,2988
57,7639
58,11732
59,5263
60,3565
61,3480
62,5852
63,7893
64,7341
65,9244
66,7157
113,9005
114,4550
115,12915
116,5945
117,6729
118,5694
119,10925
120,6649
121,11161
122,6604
123,6825
124,5230
125,4403
126,13528
172,5940
173,5940
174,11495
175,5578
176,5310
177,5649
178,5488
179,6039
180,5708
181,13206
182,8279
220,5075
221,13911
222,6047
223,3255
224,5627
225,6549
226,5375
227,4863
228,7080
229,7465
276,13928
277,4981
278,10914
279,5742
280,2549
281,9620
282,4803
283,4547
284,6780
285,5512
286,8730
287,5180
288,5003
289,3392
290,9363
291,3890
334,3251
335,5297
336,5915
337,9752
338,14780
339,5192
340,7511
341,4186
342,5016
343,3173
344,9335
388,2749
389,4441
390,4918
391,7115
392,6065
393,6434
394,5281
395,9714
396,5646
397,6033
398,5483
399,6159
400,5743
401,5294
402,3370
403,9674
404,4783
405,8472
406,3406
439,5667
440,5579
441,5492
442,6355
443,5280
444,5724
445,6001
446,5216
447,6399
448,5385
449,5421
450,7746
502,3986
503,12930
504,9856
505,4414
506,6281
507,1790
508,4000
509,4125
510,6701
550,10906
551,3145
552,5511
553,10459
554,6758
555,8422
556,7771
557,4571
558,5602
559,5451
560,9297
561,5764
562,10868
611,5710
612,3610
613,12509
614,5905
615,6808
616,9321
617,9397
618,4235
619,4285
620,5530
621,7376
665,6163
666,6426
667,6232
668,6007
669,4858
670,7847
671,3500
672,3820
673,6065
716,4436
717,6431
718,6014
719,11455
720,5855
721,4800
722,5296
723,5087
724,11662
725,5807
726,8775
727,6202
772,7115
773,6565
774,5510
775,8004
776,5874
777,4506
778,8622
779,5425
780,5717
781,14058
782,5328
783,2574
784,5620
785,13041
786,7486
787,6116
788,4499
837,9969
838,11380
839,6268
840,14104
841,6798
842,7054
843,4906
844,1960
845,11465
846,4311
847,11023
848,4804
849,2099
850,12445
851,5837
852,3778
897,4454
898,4948
899,4371
900,5075
901,2307
902,5891
903,4043
904,11925
905,2743
946,7470
947,4806
948,3885
949,4774
950,5905
951,10985
952,9506
953,14012
954,5366
955,5812
956,4885
957,8360
958,2869
1006,5615
1007,4744
1008,2804
1009,5865
1010,11109
1011,5570
1012,7317
1013,4088
1014,8281
1015,5085
1016,9734
1017,1996
1018,6440
1019,6483
1020,6487
1071,4030
1072,9481
1073,7032
1074,5798
1075,10689
1076,5108
1077,2645
1078,6311
1079,13805
1080,3076
1081,5377
1082,5180
1083,8715
1084,8077
1085,5401
1086,5010
1087,5260
1126,5535
1127,6372
1128,13170
1129,6205
1130,11424
1131,3530
1132,11004
1133,8517
1134,10561
1135,6557
1136,5182
1137,5329
1138,5573
1139,14898
1140,5451
1141,10056
1142,6717
1143,7499
1144,6179
1145,7257
1185,3996
1186,4613
1187,6083
1188,5844
1189,6370
1190,1164
1191,5662
1192,4506
1193,12968
1194,4701
1195,5849
1196,7873
1197,5290
1198,5319
1258,5600
1259,5285
1260,2421
1261,7518
1262,7442
1263,4662
1264,13245
1265,7134
1266,5544
1267,4054
1268,10215
1269,5063
1270,5870
1317,2973
1318,3644
1319,13648
1320,6582
1321,5132
1322,5516
1323,3789
1324,3133
1325,4640
1326,5131
1327,12046
1328,3113
1329,6222
1330,5455
1376,10313
1377,5340
1378,6104
1379,5523
1380,14362
1381,5384
1382,11652
1383,7769
1384,9378
1385,5858
1386,3886
1387,4617
1438,3134
1439,4696
1440,7495
1441,3066
1442,2834
1443,5316
1444,3081
1445,4320
1446,5866
1447,6256
1448,5504
1449,4862
1450,4904
1451,13632
1452,1940
1453,11292
1454,4083
1455,7544
1456,6030
1457,6760
1458,6652
1459,8286
1501,5647
1502,4585
1503,1572
1504,5657
1505,6162
1506,5782
1507,4935
1508,3823
1509,5799
1510,8200
1511,6202
1512,3827
1513,4929
1514,3512
1515,5656
1516,5214
1517,2589
1565,13073
1566,4843
1567,6481
1568,4545
1569,5899
1570,9672
1571,7094
1572,6825
1573,5579
1574,5149
1575,6634
1576,5146
1577,11858
1578,8184
1579,4800
1580,8061
1581,8253
1621,14167
1622,6642
1623,7301
1624,7391
1625,5225
1626,8690
1627,2884
1628,5829
1629,5467
1630,6553
1631,8681
1632,9247
1633,5086
1634,3440
1672,4832
1673,3134
1674,6447
1675,6216
1676,5983
1677,6809
1678,3296
1679,9911
1680,14671
1681,5629
1682,4627
1683,1950
1684,2303
1685,13045
1686,12827
1687,4072
1735,6017
1736,-14
1737,5708
1738,2494
1739,4838
1740,5824
1741,5882
1742,3866
1743,5512
1744,12947
1745,5848
1746,8976
1747,9947
1748,3796
1749,6425
1750,6216
1802,2448
1803,5399
1804,2986
1805,2570
1806,9326
1807,2976
1808,5718
1809,7679
1810,8825
1811,4608
1812,4976
1813,9064
1814,5212
1815,4085
1857,7060
1858,8946
1859,4787
1860,4122
1861,4793
1862,2745
1863,3821
1864,9459
1865,4359
1866,5879
1867,7646
1868,2572
1869,8632
1870,13583
1871,4280
1872,3273
1926,5853
1927,3299
1928,5706
1929,4343
1930,5321
1931,4719
1932,5523
1933,5679
1934,5495
1935,9860
1936,4065
1937,12951
1938,6645
1939,5290
1940,10923
1941,11543
1942,3458
1943,5680
1944,4406
1945,5804
1946,5286
1947,5755
1990,13115
1991,13169
1992,5290
1993,13894
1994,5577
1995,3910
1996,3258
1997,5232
1998,9633
1999,5116
