id,flight_time_s
48,5859
49,4091
50,5573
51,5885
52,2251
53,4597
54,4868
55,13448
56,1949
57,6826
58,11528
59,5726
60,2748
61,2908
62,6289
63,6580
64,7882
65,8022
66,9243
113,6381
114,5604
115,11972
116,6170
117,6219
118,3945
119,13162
120,5347
121,12284
122,5033
123,4752
124,3702
125,5745
126,14198
172,7029
173,6746
174,13148
175,4168
176,6477
177,7244
178,5968
179,6235
180,5992
181,13347
182,9305
220,4973
221,13490
222,4439
223,2764
224,5276
225,4949
226,5671
227,5845
228,6639
229,6593
276,13650
277,3417
278,12795
279,3998
280,5262
281,11394
282,3072
283,5940
284,5010
285,4567
286,7099
287,5771
288,5118
289,2711
290,9238
291,3060
334,1848
335,3668
336,7290
337,8517
338,15073
339,5671
340,9194
341,4433
342,3745
343,3152
344,6361
388,2721
389,5448
390,5736
391,7677
392,5453
393,6693
394,2968
395,10933
396,4034
397,3998
398,5561
399,7021
400,6232
401,5804
402,2951
403,8382
404,2862
405,6759
406,2798
439,6442
440,3904
441,5440
442,8009
443,5854
444,6391
445,5856
446,5899
447,6145
448,4238
449,6529
450,8152
502,2775
503,13262
504,8145
505,4164
506,6716
507,2108
508,3681
509,3248
510,5073
550,12890
551,3198
552,5342
553,12738
554,6143
555,6786
556,6613
557,3894
558,5663
559,6090
560,7753
561,6873
562,10181
611,4870
612,3050
613,14328
614,6554
615,7280
616,7821
617,10728
618,3280
619,3962
620,6805
621,9914
665,7092
666,5532
667,3926
668,5507
669,4654
670,6806
671,3105
672,3464
673,4503
716,2746
717,6439
718,5556
719,11993
720,5293
721,5504
722,4769
723,4421
724,12275
725,7072
726,6727
727,6542
772,6387
773,6150
774,4369
775,6939
776,4740
777,3084
778,7032
779,4869
780,7072
781,13384
782,5936
783,2880
784,4501
785,14259
786,7347
787,5714
788,4969
837,7424
838,11876
839,5061
840,13575
841,6531
842,5125
843,5018
844,1789
845,11701
846,5640
847,12045
848,3954
849,2116
850,12137
851,6098
852,5594
897,5299
898,4075
899,3055
900,7135
901,2145
902,6073
903,3034
904,12229
905,3975
946,7617
947,4151
948,4297
949,7112
950,5800
951,12783
952,7482
953,13567
954,4542
955,6257
956,6286
957,6760
958,3213
1006,5978
1007,2904
1008,2117
1009,7061
1010,12538
1011,4162
1012,5331
1013,3413
1014,8093
1015,3628
1016,8562
1017,1868
1018,5931
1019,5067
1020,5065
1071,3377
1072,10145
1073,6783
1074,7049
1075,10737
1076,6026
1077,2109
1078,5114
1079,14432
1080,3126
1081,6625
1082,5882
1083,7702
1084,7715
1085,3968
1086,3905
1087,6136
1126,4945
1127,5972
1128,13332
1129,5306
1130,12901
1131,3087
1132,11045
1133,8503
1134,12917
1135,6032
1136,6095
1137,3998
1138,5524
1139,14264
1140,5992
1141,10446
1142,5205
1143,6592
1144,4753
1145,7613
1185,2855
1186,5429
1187,5029
1188,7053
1189,6218
1190,2029
1191,4639
1192,3341
1193,10741
1194,3559
1195,4962
1196,7920
1197,6807
1198,6203
1258,4931
1259,5909
1260,2944
1261,6740
1262,9786
1263,3494
1264,11702
1265,6953
1266,6527
1267,3299
1268,10135
1269,4245
1270,3861
1317,1891
1318,3555
1319,13458
1320,8413
1321,5865
1322,6075
1323,3082
1324,2492
1325,3457
1326,3739
1327,12243
1328,2383
1329,5012
1330,6200
1376,10000
1377,5085
1378,6780
1379,5900
1380,13848
1381,3929
1382,12844
1383,6940
1384,9274
1385,4237
1386,2887
1387,4139
1438,1939
1439,4293
1440,6203
1441,1620
1442,1899
1443,4385
1444,2502
1445,4911
1446,5541
1447,7409
1448,6376
1449,3363
1450,3911
1451,13465
1452,1915
1453,10191
1454,3083
1455,6128
1456,4322
1457,3214
1458,6465
1459,7150
1501,5648
1502,3045
1503,1975
1504,6155
1505,6489
1506,6202
1507,3207
1508,5874
1509,7357
1510,8007
1511,6725
1512,2925
1513,6982
1514,3163
1515,5461
1516,6969
1517,2373
1565,12897
1566,5154
1567,8057
1568,3258
1569,5825
1570,10387
1571,7546
1572,7825
1573,7889
1574,3379
1575,8401
1576,3540
1577,12568
1578,6896
1579,4169
1580,7769
1581,6534
1621,13658
1622,5167
1623,7053
1624,9286
1625,6013
1626,6532
1627,1653
1628,7034
1629,5073
1630,6838
1631,9286
1632,9233
1633,3388
1634,2946
1672,3262
1673,3094
1674,7602
1675,5509
1676,5349
1677,5112
1678,2951
1679,7659
1680,14431
1681,6594
1682,3536
1683,2103
1684,2063
1685,13995
1686,13993
1687,3507
1735,6439
1736,7255
1737,6744
1738,2268
1739,3878
1740,5665
1741,7424
1742,3741
1743,5560
1744,11972
1745,8107
1746,7848
1747,10618
1748,5967
1749,5103
1750,5524
1802,2248
1803,5728
1804,3550
1805,1792
1806,7613
1807,1845
1808,6492
1809,3894
1810,6924
1811,5888
1812,5443
1813,7639
1814,5948
1815,2946
1857,8259
1858,7586
1859,3460
1860,3040
1861,4989
1862,2278
1863,2588
1864,6277
1865,4622
1866,5697
1867,6609
1868,1897
1869,6567
1870,14745
1871,2785
1872,5084
1926,6612
1927,2728
1928,4360
1929,3909
1930,4995
1931,4369
1932,6929
1933,7126
1934,7078
1935,11148
1936,2684
1937,14591
1938,7546
1939,4949
1940,12266
1941,12336
1942,3047
1943,5445
1944,3742
1945,4843
1946,2780
1947,5326
1990,11836
1991,13421
1992,5856
1993,14852
1994,6929
1995,3432
1996,2448
1997,5695
1998,11046
1999,5188
2000,5324
2001,6368
2002,5004
2003,4685
2004,5947
2005,5515
2006,8192
2058,3964
2059,13027
2060,2825
2061,3440
2062,2098
2063,3543
2064,6473
2065,4398
2066,4786
2067,11832
2068,7173
2069,12400
2070,4814
2071,14065
2072,5427
2073,4119
2074,6140
2075,7989
2076,5186
2077,5485
2078,1614
2125,3849
2126,5016
2127,7065
2128,3481
2129,2186
2130,6981
2131,7973
2132,11972
2133,4818
2134,3019
2135,3007
2136,7071
2137,5639
2138,5409
2139,3898
2140,8838
2190,13565
2191,5287
2192,6336
2193,6341
2194,7587
2195,5796
2196,5431
2197,6919
2198,3329
2199,2004
2200,6616
2201,2943
2202,4055
2203,5723
2204,2899
2205,6337
2206,3334
2207,6323
2208,4896
2209,5443
2210,4793
2258,9399
2259,5716
2260,5780
2261,12952
2262,5404
2263,12285
2264,5104
2265,12197
2266,3756
2267,3730
2268,2092
2269,14632
2270,12535
2271,9407
2272,9533
2307,5888
2308,2340
2309,5059
2310,11417
2311,3431
2312,8107
2313,5084
2314,6665
2315,5595
2316,5618
2317,7906
2359,14294
2360,1955
2361,7154
2362,3239
2363,5591
2364,7628
2365,4009
2366,5656
2367,1784
2368,2930
2369,3532
2370,4287
2371,3074
2372,4365
2373,4573
2374,4609
2375,7844
2376,5190
2377,14100
2378,6798
2379,6595
2380,3161
2381,7685
2382,6872
2383,10117
2423,7568
2424,5771
2425,6615
2426,2865
2427,5939
2428,5595
2429,6583
2430,3803
2431,4226
2432,6099
2433,6583
2434,5368
2435,2067
2474,1943
2475,3516
2476,9313
2477,5803
2478,1664
2479,6462
2480,4970
2481,6107
2482,6149
2483,10704
2484,10084
2485,6318
2526,12807
2527,3260
2528,3027
2529,7079
2530,5424
2531,5345
2532,3720
2533,4962
2534,5096
2535,2878
2536,8947
2537,6692
2538,14000
2539,4248
2540,3116
2541,6164
2588,6998
2589,2876
2590,11234
2591,9219
2592,5524
2593,4598
2594,5381
2595,4544
2596,2433
2597,5281
2598,5752
2599,5841
2600,14382
2601,4411
2602,3471
2603,3305
2651,3315
2652,3465
2653,4601
2654,4657
2655,12753
2656,2606
2657,3940
2658,5781
2659,3856
2660,8575
2661,4943
2662,5713
2663,5667
2664,4403
2665,8174
2717,12602
2718,3019
2719,3106
2720,3759
2721,3098
2722,5084
2723,6883
2724,4972
2725,3914
2726,3041
2727,10242
2728,3046
2729,5409
2730,2435
2780,10417
2781,8148
2782,2107
2783,5956
2784,5950
2785,3052
2786,4881
2787,7958
2788,3348
2828,6544
2829,2876
2830,2932
2831,3561
2832,14544
2833,4954
2834,5653
2835,5522
2836,4871
2837,5163
2838,5546
2839,8686
2840,10515
2841,3975
2842,7851
2843,4036
2885,2735
2886,5581
2887,12941
2888,4993
2889,5011
2890,5265
2891,4275
2892,5926
2893,3049
2894,9865
2895,5134
2896,6533
2897,4647
2942,11384
2943,9171
2944,3870
2945,5839
2946,4557
2947,2378
2948,11877
2949,2964
2950,12475
2995,6030
2996,5005
2997,4955
2998,2402
2999,7531
3000,11383
3001,4995
3002,6056
3003,3558
3004,6913
3005,7096
3006,12055
3007,5828
3008,3079
3009,5620
3010,2285
3011,3114
3012,6857
3013,3636
3014,2255
3015,7287
3016,4914
3017,5085
3018,2759
3019,4458
3072,9277
3073,3889
3074,3821
3075,3736
3076,2716
3077,13444
3078,5759
3079,1769
3080,3122
3081,4672
3082,13737
3083,4815
3084,2021
3085,5509
3086,6744
3087,5831
3088,8163
3089,12028
3090,8170
3128,6035
3129,2273
3130,6367
3131,13066
3132,11418
3133,1959
3134,4032
3135,2586
3136,4592
3137,2054
3138,10769
3139,8818
3140,5704
3141,5966
3142,12717
3143,3571
3144,12083
3145,4159
3146,5071
3195,13606
3196,14441
3197,7762
3198,5413
3199,5463
3200,5709
3201,4479
3202,5841
3203,8618
3204,9397
3205,8427
3206,1752
3207,2356
3208,12204
3209,5306
3249,4518
3250,4192
3251,7525
3252,4969
3253,4897
3254,3680
3255,9574
3256,12382
3257,6690
3258,2909
3259,4584
3260,2127
3261,3009
3262,2675
3263,5684
3264,2957
3317,5951
3318,4179
3319,4996
3320,5133
3321,5902
3322,6039
3323,6514
3324,7556
3325,8434
3326,7292
3327,1906
3328,5711
3329,6672
3330,13715
3331,2629
