id,flight_time_s
48,5774
49,4085
50,5645
51,5885
52,2237
53,4668
54,4878
55,13480
56,1952
57,6801
58,11436
59,5671
60,2738
61,2922
62,6288
63,6601
64,7860
65,8083
66,9243
113,6431
114,5621
115,11813
116,6191
117,6178
118,3938
119,13158
120,5313
121,12309
122,5051
123,4932
124,3758
125,5784
126,14110
172,7041
173,6737
174,13102
175,4177
176,6474
177,7176
178,5900
179,6208
180,6032
181,13351
182,9273
220,4966
221,13444
222,4492
223,2774
224,5253
225,5004
226,5654
227,5858
228,6658
229,6579
276,13688
277,3423
278,12839
279,3959
280,5301
281,11373
282,3074
283,6003
284,4989
285,4552
286,7156
287,5756
288,5148
289,2699
290,9304
291,3059
334,1834
335,3697
336,7258
337,8496
338,15039
339,5705
340,9190
341,4404
342,3737
343,3159
344,6400
388,2744
389,5495
390,5760
391,7621
392,5501
393,6665
394,3021
395,10887
396,4049
397,3980
398,5538
399,7030
400,6291
401,5813
402,2953
403,8346
404,2863
405,6840
406,2777
439,6473
440,3954
441,5425
442,7997
443,5852
444,6369
445,5944
446,5857
447,6184
448,4229
449,6605
450,8164
502,2799
503,13310
504,8150
505,4284
506,6730
507,2112
508,3694
509,3273
510,5067
550,12846
551,3157
552,5360
553,12812
554,6163
555,6790
556,6617
557,3912
558,5690
559,6064
560,7770
561,6889
562,10220
611,4891
612,3041
613,14267
614,6526
615,7300
616,7805
617,10677
618,3306
619,3957
620,6785
621,9879
665,7065
666,5488
667,3932
668,5521
669,4683
670,6743
671,3095
672,3479
673,4528
716,2760
717,6695
718,5539
719,12035
720,5255
721,5532
722,4686
723,4423
724,12301
725,7113
726,6704
727,6538
772,6412
773,6170
774,4329
775,6926
776,4773
777,3055
778,6981
779,4778
780,7103
781,13392
782,5844
783,2906
784,4498
785,14291
786,7312
787,5651
788,4967
837,7419
838,11910
839,5035
840,13534
841,6602
842,5143
843,5002
844,1794
845,11685
846,5650
847,12042
848,3986
849,2131
850,12123
851,6093
852,5617
897,5338
898,4032
899,3051
900,7047
901,2153
902,6135
903,3104
904,12317
905,3954
946,7615
947,4141
948,4267
949,7172
950,5768
951,12867
952,7494
953,13538
954,4514
955,6280
956,6295
957,6820
958,3155
1006,5969
1007,2913
1008,2130
1009,7069
1010,12624
1011,4164
1012,5339
1013,3429
1014,8058
1015,3672
1016,8640
1017,1880
1018,5922
1019,5148
1020,5138
1071,3346
1072,10131
1073,6841
1074,7048
1075,10798
1076,6081
1077,2137
1078,5107
1079,14512
1080,3132
1081,6662
1082,5904
1083,7731
1084,7659
1085,3827
1086,3914
1087,6160
1126,4922
1127,5984
1128,13305
1129,5279
1130,12649
1131,3089
1132,11044
1133,8503
1134,12915
1135,6030
1136,6206
1137,4001
1138,5502
1139,14229
1140,6083
1141,10422
1142,5204
1143,6614
1144,4750
1145,7545
1185,2888
1186,5478
1187,5059
1188,7060
1189,6230
1190,2029
1191,4724
1192,3369
1193,10704
1194,3550
1195,4957
1196,7896
1197,6727
1198,6231
1258,4966
1259,5944
1260,2956
1261,6712
1262,9874
1263,3612
1264,11721
1265,6915
1266,6476
1267,3323
1268,10102
1269,4270
1270,3869
1317,1905
1318,3530
1319,13455
1320,8392
1321,5868
1322,6005
1323,3097
1324,2539
1325,3483
1326,3766
1327,12242
1328,2396
