id,flight_time_s
48,5618
49,4520
50,6829
51,5837
52,2462
53,4542
54,4850
55,14498
56,2359
57,7171
58,11351
59,6097
60,2786
61,3300
62,6271
63,6460
64,7715
65,7931
66,8981
113,6436
114,5803
115,12056
116,6661
117,6263
118,4034
119,12753
120,5281
121,12398
122,4703
123,4836
124,3697
125,5727
126,14367
172,6738
173,6711
174,13076
175,3933
176,6638
177,7056
178,6078
179,6344
180,5588
181,13408
182,9918
220,4934
221,14084
222,4450
223,3524
224,4988
225,4625
226,6213
227,5841
228,6687
229,6498
276,13696
277,3443
278,12104
279,4450
280,5146
281,10927
282,3019
283,5864
284,4693
285,4385
286,7036
287,5834
288,5050
289,2814
290,9515
291,3421
334,2484
335,3627
336,5942
337,8626
338,14900
339,6160
340,9389
341,4049
342,3582
343,3173
344,6468
388,3079
389,5437
390,5730
391,7254
392,5991
393,6374
394,2718
395,10308
396,4081
397,3983
398,6055
399,6570
400,6644
401,5644
402,3052
403,8187
404,2596
405,6649
406,2769
439,6615
440,3898
441,5526
442,8419
443,6277
444,6709
445,5672
446,5600
447,6107
448,3934
449,6528
450,8090
502,2916
503,13816
504,8530
505,4185
506,6955
507,2345
508,3638
509,3126
510,5086
550,12551
551,3119
552,5414
553,12360
554,6119
555,6611
556,6497
557,3747
558,5329
559,5205
560,7621
561,6622
562,10678
611,5062
612,2910
613,13910
614,6413
615,6866
616,7713
617,10515
618,3101
619,4130
620,6416
621,10054
665,6939
666,5902
667,3704
668,5317
669,4551
670,6817
671,3281
672,3606
673,4398
716,3472
717,6438
718,5491
719,11845
720,5045
721,5373
722,4391
723,4194
724,12429
725,6600
726,6562
727,7059
772,6328
773,6377
774,4264
775,7193
776,5043
777,3584
778,7002
779,4751
780,6849
781,13491
782,5735
783,3053
784,4209
785,13960
786,7226
787,5906
788,4969
837,7170
838,11845
839,5146
840,13951
841,6442
842,5092
843,4859
844,2154
845,11336
846,5211
847,11736
848,4173
849,2492
850,11975
851,6058
852,5427
897,5209
898,4625
899,3403
900,6576
901,2454
902,6513
903,3128
904,12385
905,3911
946,7388
947,4714
948,4417
949,6762
950,6180
951,12599
952,7099
953,13765
954,4361
955,6219
956,6022
957,6661
958,3221
1006,5493
1007,2986
1008,2376
1009,6686
1010,12604
1011,4040
1012,5114
1013,3932
1014,7875
1015,3692
1016,8442
1017,2245
1018,5303
1019,5293
1020,5278
1071,3399
1072,9901
1073,6434
1074,6621
1075,10522
1076,6032
1077,2189
1078,5047
1079,14294
1080,3097
1081,6707
1082,5594
1083,7567
1084,7258
1085,4566
1086,4026
1087,5941
1126,5249
1127,6143
1128,13548
1129,4974
1130,12722
1131,3177
1132,10908
1133,8656
1134,12627
1135,5800
1136,6304
1137,3699
1138,5445
1139,14087
1140,5728
1141,10736
1142,5318
1143,6343
1144,4633
1145,7547
1185,3059
1186,5502
1187,4997
1188,6901
1189,6818
1190,2798
1191,4459
1192,3287
1193,10582
1194,3547
1195,5076
1196,7925
1197,6900
1198,5873
1258,4940
1259,5742
1260,3305
1261,7142
1262,10436
1263,3499
1264,11602
1265,6938
1266,6591
1267,3539
1268,10490
1269,4062
1270,3655
1317,2435
1318,3137
1319,13631
1320,7925
1321,5643
1322,6985
1323,3164
1324,2527
1325,3631
1326,3822
1327,12461
1328,2667
1329,5132
1330,6283
1376,10353
1377,5336
1378,6636
1379,6177
1380,13720
1381,3884
1382,12969
1383,6771
1384,9276
1385,4130
1386,2976
1387,4524
1438,2248
1439,4763
1440,6175
1441,2160
1442,2408
1443,4184
1444,2698
1445,4732
1446,5204
1447,6306
1448,6424
1449,3201
1450,3898
1451,13684
1452,1987
1453,10237
1454,3505
1455,5629
1456,4221
1457,3218
1458,6484
1459,7248
1501,5431
1502,3371
1503,2386
1504,6041
1505,6362
1506,5911
1507,3120
1508,5508
1509,6329
1510,7757
1511,6567
1512,3000
1513,7019
1514,3412
1515,5563
1516,6738
1517,2734
1565,12970
1566,5127
1567,7817
1568,3200
1569,5628
1570,10077
1571,7480
1572,7673
1573,7604
1574,4140
1575,7647
1576,3276
1577,13057
1578,6975
1579,4158
1580,8190
1581,6599
1621,13665
1622,4735
1623,7033
1624,9121
1625,6132
1626,6642
1627,1996
1628,6820
1629,4428
1630,6553
1631,9110
1632,9684
1633,4116
1634,3047
1672,3171
1673,3123
1674,7421
1675,5332
1676,5201
1677,4977
1678,2949
1679,7487
1680,14534
1681,6710
1682,3227
1683,2381
1684,2438
1685,13720
1686,13997
1687,4062
1735,6025
1736,4846
1737,6506
1738,2557
1739,3691
1740,5864
1741,7048
1742,3692
1743,6217
1744,11785
1745,7775
1746,7534
1747,10470
1748,5407
1749,5475
1750,5257
1802,2325
1803,6017
1804,3382
1805,2053
1806,7510
1807,2173
1808,7208
1809,3745
1810,6973
1811,5899
1812,5334
1813,7664
1814,5833
1815,2833
1857,8310
1858,7437
1859,3452
